time,temp1,temp2,temp3,temp4,Mode1_f0,Mode1_ql,Mode1_c1,Mode1_c2
0.190026,376.313,296.382,500.513,298.676,7078013453.3697815,7160.861552588078,0.0,0.0
2.29056,379.078,296.381,500.492,298.672,7078013723.116729,7162.071493927467,0.0,0.0
4.371293,383.036,296.381,500.433,298.672,7078013888.71717,7167.6752188346,0.0,0.0
6.471712,387.536,296.383,500.387,298.662,7078013734.67924,7160.470397256551,0.0,0.0
8.571981,392.664,296.383,500.382,298.667,7078014070.903079,7160.2702994686,0.0,0.0
10.672519,396.725,296.381,500.35,298.667,7078014268.001314,7168.39651921107,0.0,0.0
12.773009,400.719,296.38,500.328,298.661,7078014471.180658,7154.461233828792,0.0,0.0
14.873477,404.604,296.382,500.356,298.651,7078014652.518499,7156.8400511271575,0.0,0.0
16.974081,409.119,296.38,500.36,298.654,7078014016.0493145,7162.550026725589,0.0,0.0
19.074556,412.712,296.38,500.316,298.657,7078013825.821366,7156.629789348839,0.0,0.0
21.195366,416.175,296.38,500.285,298.655,7078030515.94969,7139.26323215121,0.0,0.0
23.276221,438.302,296.377,500.417,298.594,7078172148.514689,7139.4604632809705,0.0,0.0
25.37715,441.622,296.369,500.657,298.586,7078312962.601633,7135.913259726681,0.0,0.0
27.488163,444.431,296.357,500.717,298.581,7078438112.620388,7145.165898953588,0.0,0.0
29.579399,447.236,296.339,500.752,298.553,7078554175.484998,7149.322159979858,0.0,0.0
31.67993,450.021,296.326,500.794,298.49,7078660213.060195,7150.310974379192,0.0,0.0
33.780459,453.217,296.313,500.818,298.444,7078754397.368505,7150.902236339654,0.0,0.0
35.881068,455.472,296.294,500.821,298.404,7078850696.122694,7152.70693851402,0.0,0.0
37.98204,456.51,296.277,500.864,298.346,7078935264.692591,7145.980229892412,0.0,0.0
40.082598,456.517,296.266,500.917,298.339,7079016436.700599,7145.86968471218,0.0,0.0
42.183181,454.454,296.249,500.953,298.32,7079093226.401435,7150.299483129391,0.0,0.0
44.284208,451.1,296.232,501.022,298.333,7079169363.518433,7146.006638976292,0.0,0.0
46.385098,446.432,296.22,501.115,298.338,7079232767.678241,7148.4547086289795,0.0,0.0
48.485913,441.768,296.205,501.187,298.331,7079296884.563738,7145.37302031428,0.0,0.0
50.57755,436.35,296.193,501.178,298.342,7079358329.920539,7150.122194182911,0.0,0.0
52.679086,431.884,296.181,501.147,298.325,7079418283.0578165,7147.7844748525,0.0,0.0
54.780807,427.553,296.169,501.161,298.335,7079474525.918994,7154.51331612343,0.0,0.0
56.86314,423.354,296.159,501.174,298.322,7079529855.292781,7154.6451631871405,0.0,0.0
58.945597,418.414,296.148,501.172,298.321,7079576125.188441,7150.780979714275,0.0,0.0
61.028032,414.361,296.136,501.163,298.298,7079622191.857159,7150.0866906748415,0.0,0.0
63.140129,410.39,296.127,501.108,298.283,7079665419.796737,7158.165145245418,0.0,0.0
65.24188,406.538,296.114,501.047,298.3,7079709491.578319,7153.205950136735,0.0,0.0
67.343905,401.813,296.105,500.97,298.297,7079748686.089408,7158.8251988376305,0.0,0.0
69.445384,397.968,296.095,500.934,298.293,7079787322.674614,7156.854490091213,0.0,0.0
71.546871,394.279,296.086,500.962,298.291,7079825698.289777,7154.467335978209,0.0,0.0
73.638637,390.69,296.076,500.98,298.281,7079860301.22286,7155.542649972105,0.0,0.0
75.730774,386.474,296.068,500.996,298.284,7079895339.467337,7155.904567192188,0.0,0.0
77.842665,382.938,296.057,501.023,298.259,7079924062.697823,7155.516643371873,0.0,0.0
79.944083,379.473,296.049,501.038,298.274,7079955127.288648,7167.572592156594,0.0,0.0
82.046272,375.884,296.044,501.049,298.267,7079985103.696544,7156.863851284209,0.0,0.0
84.138731,371.752,296.037,501.097,298.263,7080013205.258896,7163.323305451886,0.0,0.0
86.240823,368.353,296.028,501.075,298.247,7080037663.619617,7165.401419158162,0.0,0.0
88.342632,365.102,296.022,501.039,298.256,7080056570.6929245,7159.707434679426,0.0,0.0
90.444021,362.76,296.013,501.001,298.258,7080079783.494431,7161.823919881287,0.0,0.0
92.545701,361.595,296.009,500.976,298.246,7080102475.272969,7165.785286452384,0.0,0.0
94.647704,362.433,296.003,500.97,298.255,7080124902.159316,7160.577332097532,0.0,0.0
96.749098,364.821,295.995,500.983,298.268,7080145541.803684,7159.880360618893,0.0,0.0
98.850286,367.989,295.991,501.039,298.248,7080165219.42273,7165.160867471529,0.0,0.0
100.942177,372.862,295.987,501.067,298.243,7080184654.195151,7165.999150963106,0.0,0.0
103.044218,377.113,295.982,501.061,298.253,7080201588.004579,7160.70610864849,0.0,0.0
105.155667,381.329,295.977,501.026,298.253,7080217195.250261,7151.802494059553,0.0,0.0
107.247381,385.453,295.975,501.019,298.24,7080232989.310103,7160.071247855,0.0,0.0
109.34927,390.406,295.968,501.04,298.22,7080247061.691742,7161.251193647826,0.0,0.0
111.450264,394.533,295.961,501.083,298.232,7080260145.609175,7158.964378655056,0.0,0.0
113.541831,398.588,295.961,501.17,298.225,7080273690.852801,7159.873982415323,0.0,0.0
115.643623,402.528,295.956,501.215,298.22,7080286656.143453,7159.467476429084,0.0,0.0
117.745734,407.263,295.954,501.183,298.223,7080299546.960835,7156.871603423543,0.0,0.0
119.847844,411.023,295.949,501.184,298.227,7080311462.682918,7162.708132344911,0.0,0.0
121.949629,414.761,295.946,501.187,298.227,7080319818.119159,7171.900605966154,0.0,0.0
124.051296,417.827,295.944,501.225,298.221,7080329853.136606,7158.87325109971,0.0,0.0
126.163028,421.945,295.943,501.258,298.217,7080339387.612943,7168.609578681785,0.0,0.0
128.245477,425.285,295.936,501.291,298.31,7080349514.3174305,7158.493446404905,0.0,0.0
130.34706,428.43,295.934,501.31,298.242,7080357505.119235,7163.321224213369,0.0,0.0
132.438994,431.449,295.934,501.308,298.247,7080362791.471931,7161.388132477761,0.0,0.0
134.550489,434.674,295.931,501.324,298.303,7080371292.094138,7164.2469244168815,0.0,0.0
136.642706,436.489,295.929,501.327,298.297,7080380150.257693,7157.835645427066,0.0,0.0
138.754455,437.743,295.927,501.36,298.208,7080388166.629045,7164.578550863876,0.0,0.0
140.85569,437.909,295.926,501.397,298.21,7080394176.040381,7161.006292166191,0.0,0.0
142.947962,436.496,295.923,501.451,298.206,7080398816.227662,7168.822456503123,0.0,0.0
145.040533,434.139,295.919,501.529,298.211,7080403180.487458,7166.69673960057,0.0,0.0
147.162048,430.489,295.917,501.602,298.211,7080410197.039912,7170.249005933479,0.0,0.0
149.264011,425.974,295.919,501.632,298.197,7080417195.985199,7161.395461011852,0.0,0.0
151.365869,420.788,295.914,501.584,298.197,7080422458.490791,7162.532839002577,0.0,0.0
153.467559,416.139,295.912,501.55,298.238,7080428920.871817,7167.5111005129465,0.0,0.0
155.549118,412.061,295.912,501.596,298.247,7080434096.793607,7168.604148786957,0.0,0.0
157.661132,408.103,295.912,501.574,298.211,7080439220.403119,7165.074726657379,0.0,0.0
159.762936,403.511,295.908,501.499,298.196,7080444239.790976,7159.137734186332,0.0,0.0
161.864524,399.854,295.907,501.423,298.275,7080449286.224687,7161.163713895238,0.0,0.0
163.966419,396.404,295.905,501.4,298.271,7080454288.328117,7166.749465377989,0.0,0.0
166.058467,393.772,295.904,501.431,298.184,7080458207.654108,7164.83202702012,0.0,0.0
168.170115,392.024,295.904,501.439,298.165,7080462576.26835,7163.388410537078,0.0,0.0
170.272414,392.313,295.902,501.443,298.18,7080466203.923351,7164.748419656757,0.0,0.0
172.374052,394.427,295.902,501.408,298.181,7080470679.486454,7162.260176103289,0.0,0.0
174.475935,398.492,295.899,501.39,298.165,7080473873.530336,7164.186482838375,0.0,0.0
176.577481,403.623,295.9,501.401,298.174,7080478242.724305,7162.150079795799,0.0,0.0
178.678727,407.644,295.9,501.417,298.174,7080481084.043946,7167.055997513724,0.0,0.0
180.780171,411.654,295.898,501.457,298.174,7080484718.154625,7161.973173036829,0.0,0.0
182.881758,415.468,295.896,501.505,298.157,7080487603.692783,7163.986403118863,0.0,0.0
184.983544,419.866,295.895,501.536,298.168,7080490040.015439,7163.718753639836,0.0,0.0
187.075988,423.339,295.895,501.538,298.148,7080492865.780047,7159.093136492634,0.0,0.0
189.167193,426.659,295.894,501.507,298.159,7080493948.9216585,7167.279010530373,0.0,0.0
191.259291,429.785,295.896,501.487,298.146,7080496908.758562,7162.049296449831,0.0,0.0
193.361249,432.879,295.893,501.473,298.154,7080499014.774194,7172.056761333093,0.0,0.0
195.462863,434.602,295.893,501.448,298.155,7080502030.8703165,7161.673491522505,0.0,0.0
197.554278,436.071,295.89,501.31,298.141,7080504157.200984,7159.368794621137,0.0,0.0
199.655929,437.413,295.891,501.279,298.138,7080506256.092673,7161.053062126798,0.0,0.0
201.757489,439.611,295.89,501.254,298.146,7080508644.787778,7159.370504297901,0.0,0.0
203.849754,442.292,295.888,501.239,298.153,7080509580.1451,7166.250496868028,0.0,0.0
205.941541,445.128,295.889,501.23,298.145,7080512438.414947,7164.056991368217,0.0,0.0
208.053301,447.943,295.89,501.266,298.142,7080514359.099962,7163.5693028345695,0.0,0.0
210.145699,451.534,295.888,501.323,298.148,7080516319.790206,7161.005939442974,0.0,0.0
212.247742,454.496,295.888,501.337,298.149,7080518053.699123,7167.025408261728,0.0,0.0
214.349766,457.37,295.888,501.301,298.143,7080519074.508493,7164.351513249923,0.0,0.0
216.45207,460.324,295.889,501.291,298.147,7080520452.219529,7168.374137512715,0.0,0.0
218.544012,463.548,295.887,501.257,298.141,7080519512.541695,7168.656533318207,0.0,0.0
220.656009,465.251,295.886,501.284,298.145,7080520839.290067,7159.662504653336,0.0,0.0
222.758071,466.088,295.885,501.305,298.134,7080521981.67253,7167.304243661023,0.0,0.0
224.849948,466.024,295.886,501.309,298.138,7080523338.837316,7160.926307195069,0.0,0.0
226.951862,464.822,295.884,501.286,298.142,7080524401.412583,7169.854096632567,0.0,0.0
229.053623,463.112,295.885,501.295,298.146,7080525784.956762,7163.38223039558,0.0,0.0
231.165812,461.096,295.886,501.287,298.129,7080527552.179415,7164.2337848055395,0.0,0.0
233.25784,458.965,295.883,501.277,298.134,7080528044.160334,7164.960525877058,0.0,0.0
235.359599,456.55,295.884,501.308,298.134,7080529604.65382,7168.582662310561,0.0,0.0
237.461814,454.914,295.884,501.303,298.137,7080530910.163732,7166.989155120351,0.0,0.0
239.554363,453.978,295.884,501.301,298.142,7080532175.190821,7159.7354594385215,0.0,0.0
241.646515,453.6,295.884,501.345,298.128,7080532700.338898,7160.230410935848,0.0,0.0
243.758428,453.76,295.882,501.367,298.124,7080533937.952656,7167.716403458034,0.0,0.0
245.860045,453.628,295.883,501.396,298.129,7080534334.282393,7161.681403988706,0.0,0.0
247.951636,452.434,295.885,501.427,298.134,7080534818.516894,7164.750640909116,0.0,0.0
250.063063,450.137,295.882,501.49,298.124,7080535966.418257,7158.244000413196,0.0,0.0
252.174932,446.768,295.884,501.606,298.12,7080536954.31552,7164.885103375766,0.0,0.0
254.266596,443.526,295.881,501.651,298.113,7080537710.145132,7167.918277561041,0.0,0.0
256.368388,439.871,295.881,501.686,298.117,7080537439.423595,7168.045163403181,0.0,0.0
258.469982,435.834,295.882,501.702,298.117,7080538192.042985,7166.999962762274,0.0,0.0
260.571952,430.932,295.882,501.73,298.121,7080538007.12953,7162.6770572654905,0.0,0.0
262.674259,426.865,295.883,501.797,298.121,7080537995.286533,7161.410458310536,0.0,0.0
264.775742,422.806,295.883,501.778,298.124,7080538509.005327,7159.907079170871,0.0,0.0
266.877704,418.83,295.88,501.782,298.107,7080538971.934207,7165.887381020091,0.0,0.0
268.979902,414.031,295.881,501.799,298.1,7080539300.268661,7162.57094289452,0.0,0.0
271.071746,410.129,295.881,501.804,298.11,7080539900.549459,7164.386757606423,0.0,0.0
273.183898,406.328,295.88,501.848,298.105,7080539528.425148,7167.437912205741,0.0,0.0
275.285729,402.481,295.881,501.882,298.1,7080539190.440814,7167.348320601966,0.0,0.0
277.387303,397.997,295.881,501.906,298.1,7080540062.764656,7164.157399735818,0.0,0.0
279.48959,394.303,295.881,501.909,298.106,7080540456.685738,7164.1188806038035,0.0,0.0
281.591389,390.552,295.88,501.951,298.116,7080540728.733088,7169.816089648549,0.0,0.0
283.682851,387.286,295.88,501.969,298.114,7080540181.324761,7160.280290813386,0.0,0.0
285.784673,385.235,295.88,501.926,298.103,7080541037.898721,7166.718773973207,0.0,0.0
287.87633,384.769,295.88,501.871,298.115,7080541212.423258,7161.523917552013,0.0,0.0
289.978614,385.022,295.879,501.845,298.101,7080540548.919341,7163.089529374142,0.0,0.0
292.070276,385.864,295.879,501.838,298.11,7080541492.1326475,7164.25634116242,0.0,0.0
294.182024,387.15,295.88,501.834,298.11,7080542147.643122,7163.321140339058,0.0,0.0
296.283774,387.606,295.88,501.86,298.108,7080541583.125041,7160.869989162613,0.0,0.0
298.385476,386.825,295.879,501.86,298.109,7080542113.950304,7168.2452008498585,0.0,0.0
300.487228,384.202,295.879,501.891,298.099,7080542194.887652,7164.351341291911,0.0,0.0
302.57925,379.873,295.881,501.909,298.106,7080541854.960581,7166.969723323524,0.0,0.0
304.68087,376.51,295.88,501.892,298.119,7080542083.6512165,7161.988201210762,0.0,0.0
306.773116,373.268,295.88,501.857,298.108,7080542554.334893,7166.872634962929,0.0,0.0
308.86523,370.092,295.879,501.869,298.088,7080542506.965917,7162.945078887097,0.0,0.0
310.967,366.403,295.881,501.875,298.092,7080542814.054784,7157.379368325019,0.0,0.0
313.0685,363.447,295.879,501.869,298.098,7080542364.012487,7172.793233838405,0.0,0.0
