time,temp1,temp2,temp3,temp4,Mode1_f0,Mode1_ql,Mode1_c1,Mode1_c2,Mode2_f0,Mode2_ql,Mode2_c1,Mode2_c2,Mode3_f0,Mode3_ql,Mode3_c1,Mode3_c2,Mode4_f0,Mode4_ql,Mode4_c1,Mode4_c2
0.229968,504.731,42.5993,502.977,3.83401,7095347807,64411.07904,0.008000689,0.061220211,7295287142,95157.70258,0.010260375,0.067461183,7848830338,48402.18729,0.008483091,0.064463903,8029482643,65291.54569,0.020917165,0.050699737
5.483364,504.648,42.5884,502.899,3.86659,7095347779,64582.53094,0.00653377,0.061339311,7295286870,96526.98452,0.010310403,0.067425581,7848829697,47090.59676,0.010000671,0.064350765,8029481938,66160.55331,0.024911522,0.050631569
10.695683,504.58,42.5844,502.861,3.86394,7095348532,64870.46729,0.006305983,0.06135984,7295287259,95371.39807,0.008661041,0.067445491,7848830563,48316.82204,0.009285298,0.064428117,8029481713,64220.23947,0.021865529,0.050661359
15.909652,504.493,42.5753,502.767,3.849,7095347969,64762.21062,0.006665104,0.06151748,7295287529,95758.40935,0.010945162,0.06762264,7848829554,47741.59841,0.017449534,0.064421636,8029481744,65087.07945,0.026118336,0.05064842
21.11247,504.414,42.5657,502.719,3.83548,7095348735,64569.42747,0.006996761,0.061295671,7295287318,95306.92836,0.009618849,0.067541878,7848829646,47603.2638,0.010112129,0.064324518,8029481035,63339.91185,0.025432329,0.050687719
26.325932,504.376,42.7212,502.659,3.85333,7095348799,64124.53528,0.006545653,0.06126152,7295287205,94097.1658,0.012910129,0.067465984,7848830463,48136.23599,0.009041628,0.064377349,8029481396,65290.20502,0.021675349,0.05064683
31.559354,504.421,42.7384,502.731,3.84201,7095347974,64977.65127,0.006630218,0.06130689,7295287360,95475.70409,0.009828704,0.067608216,7848829463,47798.51093,0.008147063,0.064293013,8029479730,65191.7596,0.026558409,0.05065958
36.782315,504.432,42.7222,502.755,3.83169,7095348570,64812.63471,0.006660383,0.061416101,7295286969,95802.07312,0.010606541,0.067752808,7848829067,47405.03884,0.012996335,0.064357605,8029481206,67054.96595,0.028131228,0.050674975
42.005669,504.488,42.6968,502.816,3.81963,7095347954,64583.5358,0.006519035,0.061521799,7295287219,95488.76514,0.010932413,0.067474483,7848829657,47498.29159,0.016024795,0.064365827,8029479254,64100.33936,0.026590298,0.050661156
47.238393,504.48,42.7061,502.828,3.84051,7095348577,64436.72569,0.007486489,0.061423136,7295287164,94623.33878,0.013312817,0.067911835,7848829440,47683.21883,0.009631318,0.064312873,8029481286,65909.92247,0.025209616,0.050675112
52.472218,504.539,42.6995,502.825,3.84102,7095348107,64158.82785,0.0069218,0.061554949,7295287345,95527.38926,0.010440012,0.067652514,7848829789,48406.80667,0.006091511,0.064361973,8029481139,65411.09151,0.024454377,0.050657802
57.705563,504.566,43.1579,502.863,3.83208,7095348374,63700.94525,0.009356809,0.061506366,7295287024,96633.0254,0.012146494,0.067633565,7848830536,47915.81144,0.010277371,0.064327995,8029482898,64083.19089,0.026255783,0.050619778
62.908287,504.566,42.7492,502.87,4.37983,7095347882,64603.07791,0.006677603,0.06127518,7295287136,95330.65896,0.010272669,0.067483868,7848830609,48148.98904,0.01013022,0.064360942,8029482499,65643.23843,0.0249827,0.050593213
68.119747,504.543,42.9454,502.843,4.752,7095348046,64337.73025,0.006730415,0.061344169,7295287115,95490.93916,0.009561262,0.067503978,7848830214,47768.6341,0.009419008,0.064377466,8029482360,65394.46861,0.025987208,0.050603154
73.310939,504.349,43.2522,502.722,5.04738,7095348382,64249.22337,0.006865654,0.061361615,7295286972,95479.14875,0.010858959,0.067494392,7848830979,48174.67287,0.008917415,0.064327915,8029480805,63749.82497,0.023075236,0.050585038
78.492254,504.238,43.6265,502.718,5.31186,7095347811,64468.34673,0.006668961,0.061347057,7295286909,95468.41665,0.008564009,0.067572401,7848831083,47559.3632,0.008990358,0.064311151,8029481545,64506.41707,0.024193454,0.050635287
83.673112,504.107,44.0133,502.579,5.55894,7095348199,64810.70968,0.00712451,0.061277973,7295286830,95609.26283,0.009939253,0.067512754,7848828549,47884.54554,0.009570877,0.064323915,8029482590,64559.13436,0.026973778,0.050599059
88.874312,504.121,44.4054,502.579,5.80029,7095348224,64724.41196,0.007083324,0.061318471,7295286730,95462.70792,0.009675034,0.067513524,7848829719,47861.27648,0.00981203,0.064282767,8029482166,64008.05832,0.024143462,0.050590441
94.076099,504.114,44.8168,502.58,6.07442,7095347534,64419.05746,0.006566788,0.061281282,7295286671,95340.80973,0.009984853,0.067463761,7848828816,47756.25358,0.008148317,0.064310124,8029480781,66029.64931,0.026599129,0.050591427
99.256777,504.139,45.2383,502.548,6.39619,7095347929,64159.52439,0.007018153,0.061320355,7295286569,95391.77386,0.009770751,0.06749044,7848828435,47481.04943,0.010324304,0.064309091,8029481649,64097.75526,0.02464725,0.050561872
104.468843,504.125,45.6646,502.526,6.751,7095347391,64761.96075,0.006439935,0.061194391,7295286501,95587.08258,0.00990801,0.067441287,7848829521,47555.97538,0.011314719,0.064158642,8029481443,65276.27499,0.021446301,0.050536547
109.661218,504.084,46.1007,502.507,7.13779,7095347034,64433.58931,0.006656941,0.061284742,7295286403,95505.87012,0.009786217,0.067449277,7848829511,47882.98441,0.009233744,0.064231728,8029481131,65918.29463,0.025852764,0.050522649
114.842522,504.026,46.5708,502.449,7.53925,7095347256,64759.07117,0.00651806,0.061151984,7295286257,95526.50351,0.009951853,0.067439043,7848830792,47712.89742,0.005219984,0.064095632,8029481344,65418.99894,0.02815925,0.050482122
119.993978,503.863,47.008,502.35,7.96265,7095347389,64605.83964,0.006907475,0.061130121,7295286023,95283.46516,0.009703282,0.067396079,7848829657,47358.9093,0.005328882,0.064062037,8029479812,64011.95744,0.026117078,0.050480726
125.215739,503.822,47.4198,502.353,8.28132,7095347357,64305.96792,0.007400542,0.061184886,7295285780,95246.99702,0.009882616,0.067326781,7848828980,47214.63699,0.007405033,0.064137477,8029478802,65244.78046,0.025927895,0.050469219
130.428359,503.696,47.6909,502.256,8.4147,7095347366,64265.56494,0.007214181,0.061183801,7295285810,95059.97569,0.009408059,0.067305446,7848828395,47609.40698,0.008925634,0.064090195,8029480517,64063.68337,0.022595964,0.050419916
135.660942,503.591,47.9437,502.133,8.57568,7095346359,64428.95808,0.006650139,0.061041392,7295285753,95441.62132,0.009807695,0.067320039,7848829203,47345.94028,0.011242092,0.064044619,8029478640,64588.38156,0.027399886,0.050467628
140.863428,503.471,48.1853,502.017,8.74927,7095346383,64451.37112,0.006668636,0.061079277,7295285555,95257.96204,0.010082552,0.067208331,7848829323,48200.17799,0.007792181,0.064044354,8029480234,64731.20878,0.022169865,0.050437136
146.076328,503.498,48.4499,502.041,8.91835,7095346505,64411.16511,0.006544072,0.060941515,7295285473,95328.63066,0.00958073,0.067232913,7848829050,47541.8675,0.008423206,0.064019924,8029480010,65157.44844,0.023313866,0.05040106
