time,temp1,temp2,temp3,temp4,Mode1_f0,Mode1_ql,Mode1_c1,Mode1_c2,Mode2_f0,Mode2_ql,Mode2_c1,Mode2_c2,Mode3_f0,Mode3_ql,Mode3_c1,Mode3_c2,Mode4_f0,Mode4_ql,Mode4_c1,Mode4_c2
0.189935,496.988,294.643,499.859,295.763,7079633777.717225,6719.808361840538,0.0,0.0,7269778218.477379,8344.654835953637,0.0,0.0,7829872928.896332,5359.678537590792,0.0,0.0,8001690200.671741,6417.339266116079,0.0,0.0
4.988072,497.385,294.64,499.945,295.764,7079634278.128369,6723.194700529147,0.0,0.0,7269778740.761112,8352.069962823995,0.0,0.0,7829870924.630738,5370.172801800119,0.0,0.0,8001692088.92529,6413.3414570104605,0.0,0.0
9.866069,497.737,294.642,500.043,295.761,7079633847.557059,6721.891375051922,0.0,0.0,7269779017.006276,8345.236075681309,0.0,0.0,7829871830.426562,5371.802123286057,0.0,0.0,8001692373.174122,6413.222478560154,0.0,0.0
14.734135,497.768,294.641,500.024,295.763,7079634407.477083,6719.6001702488975,0.0,0.0,7269779292.344757,8347.228764667456,0.0,0.0,7829871987.767086,5370.456118001991,0.0,0.0,8001692633.750249,6413.687068735566,0.0,0.0
19.602596,497.681,294.641,500.059,295.759,7079634665.962767,6718.207589204241,0.0,0.0,7269779606.826035,8348.494010131177,0.0,0.0,7829871136.269131,5368.609891301399,0.0,0.0,8001692407.222135,6411.633883885154,0.0,0.0
24.470705,497.706,294.639,500.099,295.761,7079635357.269897,6719.777886789541,0.0,0.0,7269779378.999484,8342.05287090846,0.0,0.0,7829871403.549308,5365.855410786939,0.0,0.0,8001692739.713261,6415.569142112852,0.0,0.0
29.348885,498.021,294.639,500.282,295.759,7079635316.704311,6715.46977048516,0.0,0.0,7269779937.738902,8344.025793863791,0.0,0.0,7829871481.631163,5366.057581360476,0.0,0.0,8001692950.62621,6412.411572155019,0.0,0.0
34.216889,498.175,294.639,500.324,295.759,7079635179.825796,6720.143654265209,0.0,0.0,7269779837.88837,8351.276285531785,0.0,0.0,7829871738.114555,5366.484177707319,0.0,0.0,8001693547.236033,6415.94971145937,0.0,0.0
39.085166,497.757,294.64,500.324,295.758,7079635167.937986,6718.089677819576,0.0,0.0,7269780026.605812,8349.948267763093,0.0,0.0,7829871909.394721,5367.805329204339,0.0,0.0,8001693545.809403,6412.773313782127,0.0,0.0
43.953381,497.244,294.639,500.514,295.755,7079635344.968733,6720.30653490185,0.0,0.0,7269780485.899694,8344.61640476209,0.0,0.0,7829872564.081447,5366.040873607568,0.0,0.0,8001693965.437997,6413.372764251759,0.0,0.0
48.851905,496.823,294.639,500.629,295.756,7079635998.708432,6722.151616801182,0.0,0.0,7269780887.927851,8346.290306037563,0.0,0.0,7829872710.740005,5366.980147418125,0.0,0.0,8001693848.154141,6414.3854912876195,0.0,0.0
53.700018,496.603,294.639,500.673,295.753,7079635748.629238,6720.013887173564,0.0,0.0,7269780706.701464,8350.1191488499,0.0,0.0,7829872669.991731,5364.299065647348,0.0,0.0,8001694413.536011,6413.814269879502,0.0,0.0
58.608665,497.395,294.64,500.682,295.752,7079636970.447985,6720.618473204758,0.0,0.0,7269780832.778263,8342.113924353389,0.0,0.0,7829873128.945838,5363.958933312225,0.0,0.0,8001694839.407436,6412.3868770777035,0.0,0.0
63.497185,497.874,294.637,500.606,295.752,7079636724.029651,6720.368165576123,0.0,0.0,7269781003.453013,8351.996322184734,0.0,0.0,7829873639.434776,5376.975496602581,0.0,0.0,8001694940.901631,6408.626730695157,0.0,0.0
68.374993,497.693,294.638,500.561,295.75,7079636862.816231,6716.902095703653,0.0,0.0,7269781414.492186,8346.413878277004,0.0,0.0,7829873614.126707,5361.861042910762,0.0,0.0,8001695197.8962345,6409.377550206149,0.0,0.0
73.242915,497.005,294.637,500.576,295.746,7079636704.22366,6715.057560772783,0.0,0.0,7269781722.037368,8348.538600910975,0.0,0.0,7829873833.41664,5368.714028691809,0.0,0.0,8001695346.322457,6410.309405494518,0.0,0.0
